Generic,UNI,DIN,AISI,JIS,Material No.
180A CR,,,,,
180A EG,,,,,
180A EG Alloy,,,,,
180A HDGA,,,,,
180A HDGI,,,,,
210A CR,,,,,
210A EG,,,,,
210A EG Alloy,,,,,
210A HDGA,,,,,
210A HDGI,,,,,
250A CR,,,,,
280A CR,,,,,
Al 3003-0,"P-AlMn1,2Cu",AlMnCu,3003,,3.0517
Al 3004-0,"P-AlMn1,2Mg",AlMn1Mg1,3004,,3.0526
Al 5052-0,"P-AlMg2,5","AlMg2,5",5052,,3.3523
Al 5052-0 HF,,,5052,,3.3523
Al 5052-H32,,,5052,,3.3523
Al 5182-0,,,5182,,
Al 6009-T4,,,6009,,
Al 6010-T4,,,6010,,
Al 6013-T4,,,6013,,
Al 6016-T4,,,6016,,
Al 6022-T4,,,6022,,
Al 6061-T4,P-AlMg1SiCu,AlMg1SiCu,6061,,3.3211
Al 6111-T4,,,6111,,
BH 180,,ZStE180 BH,,,1.0395
BH 180 CR,,ZStE180 BH,,,1.0395
BH 180 EG,,ZStE180 BH,,,1.0395
BH 180 EG Alloy,,ZStE180 BH,,,1.0395
BH 180 HDGA,,ZStE180 BH,,,1.0395
BH 180 HDGI,,ZStE180 BH,,,1.0395
BH 210,,,,,
BH 210 CR,,,,,
BH 210 EG,,,,,
BH 210 EG Alloy,,,,,
BH 210 HDGA,,,,,
BH 210 HDGI,,,,,
BH 240 EG,,,,,
BH 280,,,,,
C11000,,,,,
C26000-H04 (L),,,,,
C52100-10M,,,,,
C52100-10M (Temper),,,,,
C52100-H06,,,,,
C52100-H06 (Temper),,,,,
C7025-TM02 (Temper),,,,,
CP 700/800,,,,,
CP-W1000,,,,,
CP-W900,,,,,
CRCA,,,,,
CRCQ,FeP01,St 12 ,A 336,SPCC,1.033
CP-W800,,,,,
CRDQ,FeP03,RRSt 13 ,A 619,SPCD,1.0347
CREDDQ,,,,,
CR-EG-CQ,,,,,
CR-EG-DQ,,,,,
CR-EG-DQSK,,,,,
CR-EG-EDDQ,,,,,
CS Type B HDGA,,,,,
CS Type B HDGI,,,,,
DC01,FeP01,St 12 ,A366,SPCC,1.033
DC04,FeP04,EN 10130,A620,SPCE,1.0338
DC05,FeP05,St 15,,,1.0312
DDS CR,,,,,
DDS EG,,,,,
DDS EG Alloy,,,,,
DDS HDGI,,,,,
DP 280/600,,,,,
DP 300/500,,,,,
DP 350/600,,,,,
DP 400/700,,,,,
DP 500/800,,,,,
DP 590 HDGA,,,,,
DP 600,,,,,
DP 700/1000,,,,,
DP 780 HDGA,,,,,
DS Type B CR,,,,,
DS Type B EG,,,,,
DS Type B EG Alloy,,,,,
DX52D,,FePO3 G,FS,SGCH,1.035
DX53D,,FePO5 G,DDS,SGCH,1.0355
DX54D,,FePO6 G,,SGCD1,1.0356
DX56D,,USD8,EDDS,SGCD2,1.0322
EDDS CR,,,,,
EDDS EG,,,,,
EDDS EG Alloy,,,,,
EDDS HDGA,,,,,
EDDS HDGI,,,,,
FeP04,FeP04,St 14,,SPCE/SPCEN,1.0338
Ford_DDQ,,,,,
HRCQ,,USD8,A 569 / HRCQ,SPHC,1.0322
HRDDQ,,,,,
HRDP590,,RR Stw 23,A 621 / HRDQ,SPHD,1.0398
HRDQ,,,,,
HRHSLA40,,,,,
HRHSLA50,,,,,
HRHSLA60,,,,,
HRHSLA75,,,,,
HRHSLA80,,,,,
HSLA 250,,,,,
HSLA 280 HDGI,,,,,
HSLA 300,,,,,
HSLA 340 CR,,Ste 350,,,1.0529
HSLA 340 HDGA,,,,,
HSLA 340 HDGI,,,,,
HSLA 350,,,,,
HSLA 380 CR,,,,,
HSLA 410 HDGI,,,,,
HSLA 420 CR,,,,,
HSLA 420 HR,,,,,
HSLA 490 CR,,,,,
HSLA 490 HR,,,,,
HSLA 550 CR,,,,,
HSLA 550 HR,,,,,
HSS 300S CR,,,,,
HSS 300S HR,,,,,
HSS 340S CR,,,,,
HSS 340S HR,,,,,
Mart 1250/1520,,,,,
Mart 950/1200,,,,,
QStE380,AE 340 HC,S 355 MC,A607 Grade 50,Gr. 55,1.0976
QStE500,AE 404 HC,S500MC,A607 Grade 65,Gr. 70 / Gr. 70 / 070 XLK,1.0982
RA 550R,,,,,
SCGA270D,,,,,
Spec 50ksi,,,,,
SPH440,,,,,
SPH590 t3.2,,,,,
SS-304,,,SS-304 / A304,,
SS-309,,X15Cr-NiSi20-12,SS-309 / A309,SUH 309,
SS-316,X5CrNiMo1712,X 5CrNiMo-17 12 2,SS-316 / A316,SUS 316,1.4401
SS-409,,X6CrTi 12,SS-409 / A409,SUH 409,1.4512
SS-439,,,SS-439 / A439,,
SSPDX,,,,,
St 12,FeP01,St 12,A366(1012),SPCC; CR1,1.033
St 15,FeP05,St 15,,,
St 24,FeP04,St 24,-1006,SPHE,
Titanium_TA2,,,,,
TRIP 450/800,,,,,
TRIP 590/600 HDGA,,,,,
TRIP 780/800 HDGA,,,,,
X5CrNi18,X5CrNi1810,X5 CrNi 18 10,304,SUS 304,1.4301
ZStE180BH,,,,,
ZStE220,,,A1008 BHS Gr.31,,
ZStE260,,EN 10268 - 98,A1008 SS Gr.40,,
ZStE300,,EN 10268 - 98,A1008 HSLAS Gr.45 Class 2,,
ZStE340,,EN 10268 - 98,A1008 HSLAS Gr.50 Class 2,,
ZStE380,,EN 10268 - 98,A1008 HSLAS Gr.55 Class 2,,
ZStE380TM,,S 355 MC,,SPFC 390,
ZStE420,,S 420 MC,,,
ZStE500TM,,S 500 MC,,,
SLCDY,,,,,
SPH780,,,,,
EN AW-1050A (H16),9001/2 (H16),Al99.7 (H16),1050,,
EN AW-1050A (H14),9001/2 (H14),Al99.7 (H14),1050,,
